angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[522, 222, 227, 290]",,0.0,,0.9,,0.0,,0.0,,0.08,,0.01,
0.02,,"[528, 226, 222, 283]",,0.0,,0.92,,0.0,,0.0,,0.03,,0.03,
0.01,,"[529, 224, 223, 287]",,0.0,,0.93,,0.0,,0.0,,0.02,,0.04,
0.01,,"[529, 223, 223, 288]",,0.0,,0.9,,0.0,,0.0,,0.02,,0.08,
0.02,,"[530, 223, 221, 286]",,0.0,,0.86,,0.0,,0.0,,0.02,,0.1,
0.03,,"[528, 221, 219, 280]",,0.0,,0.81,,0.0,,0.0,,0.02,,0.13,
0.03,,"[530, 223, 221, 284]",,0.0,,0.87,,0.0,,0.0,,0.01,,0.09,
0.01,,"[528, 227, 220, 282]",,0.0,,0.85,,0.0,,0.0,,0.0,,0.13,
0.01,,"[526, 219, 224, 292]",,0.0,,0.88,,0.0,,0.0,,0.0,,0.11,
0.01,,"[523, 220, 230, 293]",,0.0,,0.9,,0.0,,0.0,,0.02,,0.07,
0.05,,"[528, 216, 225, 292]",,0.0,,0.81,,0.0,,0.0,,0.09,,0.05,
0.03,,"[528, 217, 224, 292]",,0.0,,0.86,,0.0,,0.0,,0.05,,0.06,
0.01,,"[523, 218, 229, 291]",,0.0,,0.79,,0.0,,0.0,,0.0,,0.2,
0.0,,"[526, 214, 225, 301]",,0.0,,0.58,,0.0,,0.0,,0.0,,0.41,
0.0,,"[519, 216, 233, 299]",,0.0,,0.35,,0.0,,0.0,,0.0,,0.64,
0.01,,"[521, 221, 225, 289]",,0.0,,0.45,,0.0,,0.0,,0.0,,0.54,
0.01,,"[519, 219, 228, 294]",,0.0,,0.21,,0.0,,0.0,,0.0,,0.78,
0.0,,"[518, 220, 234, 297]",,0.0,,0.17,,0.0,,0.0,,0.0,,0.83,
0.0,,"[519, 220, 234, 300]",,0.0,,0.14,,0.0,,0.0,,0.0,,0.86,
0.0,,"[518, 223, 232, 293]",,0.0,,0.09,,0.0,,0.0,,0.0,,0.91,
0.0,,"[521, 224, 227, 294]",,0.0,,0.17,,0.0,,0.0,,0.0,,0.83,
